,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Orientación,Precio,URl,ubicacion,Ambientes,Tipo de propiedad,Cuota mensual de mantenimiento,Tipo de casa,Bodegas
0,74 m²,94 m²,3,3,1,2,2 años,Norte,"6,500",https://casa.mercadolibre.com.mx/MLM-930715722-hacienda-vinedos-en-closter-con-vigilancia-_JM#position=1&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.0692862%2C-101.5629488&zoom=16&size=732x300&signature=wH7ea96ODHvoxmJxRhYVHhjbXpE=,,,,,
0,75 m²,75 m²,3,2,1,2,8 años,Sur,"6,000",https://casa.mercadolibre.com.mx/MLM-940792537-brisas-del-lago-en-closter-con-vigilancia-_JM#position=2&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1717329%2C-101.6496516&zoom=16&size=732x300&signature=y_3qgAStw_rTTeYR8m_fiwbzGC0=,,,,,
0,200 m²,140 m²,3,2,2,2,6 años,,"21,000",https://casa.mercadolibre.com.mx/MLM-911097958-casa-3-recamaras-4-y-12-banos-y-2-cocheras-_JM#position=3&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1121841%2C-101.6394591&zoom=16&size=732x300&signature=QcmpxMgIrfzuC_QYu18m9KRUZRY=,,,,,
0,315 m²,230 m²,4,3,4,,11 años,,"15,000",https://casa.mercadolibre.com.mx/MLM-963547771-casa-comercial-en-renta-frente-a-centro-max-_JM#position=4&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.0996838%2C-101.6396101&zoom=16&size=732x300&signature=hxKb-lfZ9_pwsAi5EdumiB6iYxg=,7,,,,
0,160 m²,240 m²,3,3,2,,,,"16,000",https://casa.mercadolibre.com.mx/MLM-953377251-residencial-soberna-en-manzana-central-_JM#position=5&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1228027%2C-101.6217651&zoom=16&size=732x300&signature=4WKHPhNTh0y7przX-tN4x323jxU=,,,,,
0,368 m²,230 m²,3,3,4,1,5 años,Sur,"17,000",https://casa.mercadolibre.com.mx/MLM-957247442-gran-jardin-en-una-planta-_JM#position=6&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1810725%2C-101.7070041&zoom=16&size=732x300&signature=I4FiqF13yDID3zSJvsMcZuPKL6M=,,,,,
0,165 m²,260 m²,3,3,2,2,6 años,Sur,"19,000",https://casa.mercadolibre.com.mx/MLM-957273676-punta-del-este-en-closter-con-vigilancia-_JM#position=7&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1291278%2C-101.6089007&zoom=16&size=732x300&signature=YokkasGxBn4UwqUQYQse13Rs-zA=,,,,,
0,288 m²,260 m²,4,4,2,,,,"19,000",https://casa.mercadolibre.com.mx/MLM-957254461-gran-jardin-muy-amplia-_JM#position=8&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.188243%2C-101.716393&zoom=16&size=732x300&signature=etCAcxCWHgHyCPGpAMb-kwLY_No=,,,,,
0,75 m²,75 m²,3,2,3,,,,"8,000",https://casa.mercadolibre.com.mx/MLM-960955512-casa-en-renta-calle-bosque-oyamel-colonia-el-dorado-47044-_JM#position=9&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.0811693%2C-101.6007629&zoom=16&size=732x300&signature=QufLfyR3hhnjH46-9q7bZmcOXF0=,3,,,,
0,150 m²,150 m²,3,3,2,,,,"14,500",https://casa.mercadolibre.com.mx/MLM-960955317-casa-en-renta-villa-espinela-jardines-de-los-reyes-38662-_JM#position=10&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1102002%2C-101.5918819&zoom=16&size=732x300&signature=pySAEbsZl9CQsjs_aoiYKUOh2_0=,3,,,,
